DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,avg_arrival_time,std_arrival_time,avg_work_hours,absence_rate,Attrition
1,3,1,25920,1.0,14,0,5.0,2.0,5,0.0,4.0,4.0,4.0,2.0,3,3,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,10.00076071922545,0.28262676999403014,6.089687644075611,0.07662835249042144,0
1,3,2,53460,4.0,11,0,7.0,2.0,5,0.0,1.0,3.0,4.0,4.0,3,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,9.999226441631505,0.26988368809221164,6.705174636661979,0.09195402298850575,0
3,2,1,42130,1.0,12,3,3.0,3.0,3,1.0,0.0,4.0,3.0,4.0,2,3,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,10.030543318649046,0.2648111114315451,6.619040626529613,0.13026819923371646,0
1,3,2,41270,2.0,13,1,15.0,2.0,5,0.0,2.0,1.0,4.0,3.0,3,3,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,9.999661246612465,0.269552619977046,10.911756729846998,0.05747126436781613,0
7,4,1,24380,7.0,16,0,10.0,4.5,7,6.0,2.0,2.0,2.0,2.0,2,3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,9.9805316091954,0.29060659545290446,6.960253831417624,0.11111111111111116,0
8,3,1,68700,1.0,11,1,8.0,4.5,8,7.0,7.0,1.0,1.0,3.0,3,3,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,10.023304473304472,0.2916125401275001,9.293555796055795,0.11494252873563215,0
1,4,2,104470,1.0,18,0,6.0,3.0,6,1.0,4.0,3.0,2.0,1.0,3,3,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,9.985847701149426,0.28163637444712253,7.590778256704981,0.11111111111111116,0
8,4,1,96670,3.0,23,0,28.0,2.0,10,1.0,6.0,1.0,2.0,2.0,2,4,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,9.98090128755365,0.26192588793284244,6.008613495469718,0.10727969348659006,0
11,4,2,21480,3.0,11,0,21.0,2.0,5,1.0,3.0,3.0,3.0,2.0,3,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9.995043103448275,0.2628846124107899,8.402108477011494,0.11111111111111116,0
4,4,1,89260,1.0,14,0,10.0,4.0,18,7.5,6.0,2.0,3.0,3.0,1,3,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,9.989118457300275,0.28174610944627543,6.8070052800734615,0.07279693486590033,0
16,4,1,65130,1.0,11,1,10.0,2.0,10,0.0,9.0,2.0,4.0,2.0,3,3,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,9.963564213564215,0.26513827326600337,7.093167388167388,0.11494252873563215,0
1,4,1,67990,3.0,11,0,12.0,2.0,10,0.0,8.0,2.0,4.0,3.0,3,3,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,10.018464730290455,0.27117114620341154,9.362002074688796,0.07662835249042144,0
9,3,1,162910,1.0,22,0,5.0,3.0,5,3.0,3.0,1.0,1.0,3.0,3,4,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,9.997280334728034,0.26580444462346176,10.911756729846998,0.08429118773946365,0
5,1,1,27050,1.0,11,0,17.0,2.0,17,5.0,7.0,4.0,4.0,3.0,3,3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,9.983474576271187,0.3001575296628334,7.604444444444445,0.09578544061302685,0
1,2,2,103330,3.0,14,1,19.0,2.0,1,0.0,0.0,4.0,3.0,1.0,2,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,10.008299039780523,0.2600300826949229,10.911756729846998,0.06896551724137934,1
2,3,1,44480,8.5,12,0,10.0,3.0,2,1.0,2.0,4.0,4.0,3.0,2,3,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,9.98376811594203,0.30132700903409965,6.8312753623188405,0.11877394636015326,0
4,3,3,68540,2.0,11,0,5.0,4.5,3,0.0,2.0,1.0,2.0,3.0,2,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,9.996848739495798,0.2825991389229934,10.10940826330532,0.08812260536398464,1
7,3,1,96370,1.0,13,0,5.0,4.5,5,0.0,2.0,4.0,4.0,3.0,2,3,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,9.969283746556474,0.29668530148369693,6.709665977961433,0.07279693486590033,0
1,1,2,35910,8.5,13,0,22.0,2.0,3,1.0,2.0,3.0,1.0,3.0,3,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,10.0002849002849,0.30603906441177087,10.518214624881292,0.10344827586206895,0
5,3,3,54050,4.0,14,0,10.0,2.0,8,7.0,7.0,3.0,2.0,3.0,3,3,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,9.962894375857339,0.27224399824893025,6.182887517146776,0.06896551724137934,0
9,4,1,46840,1.0,16,1,2.0,4.0,2,2.0,2.0,4.0,2.0,2.0,3,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,10.026250000000001,0.25946214886676777,6.586388888888889,0.08045977011494254,0
8,3,2,157870,1.0,12,2,8.0,4.5,8,7.0,4.0,4.0,4.0,3.0,3,3,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,9.943668599555249,0.2644992652904191,10.272241379310344,0.11111111111111116,1
9,1,1,15140,1.0,14,0,4.0,3.0,4,1.0,2.0,2.0,4.0,2.0,3,3,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,10.000413223140496,0.28073179423550493,9.982733011937558,0.07279693486590033,0
2,2,3,29560,5.0,13,0,23.0,2.0,18,4.0,8.0,3.0,2.0,4.0,3,3,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,10.004782608695653,0.26612267309336596,5.979567632850242,0.11877394636015326,0
1,4,1,23350,1.0,14,2,0.0,3.0,0,0.0,0.0,3.0,3.0,3.0,2,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,9.98582966226138,0.2762673209174691,6.775967939304944,0.13026819923371646,1
20,2,1,51540,0.0,19,0,12.0,2.0,11,6.0,9.0,3.0,2.0,2.0,2,3,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,10.021548117154811,0.2782152207246972,7.690160390516039,0.08429118773946365,0
8,3,3,69620,4.0,12,2,4.0,2.0,1,0.0,0.0,3.0,4.0,3.0,2,3,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,10.030191256830602,0.2783724660333887,7.204732468123861,0.06513409961685823,0
2,3,2,56750,5.0,13,0,13.0,2.0,4,1.0,2.0,4.0,2.0,3.0,2,3,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,10.039527701045404,0.2622197911063758,7.594769503546099,0.09961685823754785,0
29,1,1,23790,1.0,12,0,22.0,4.5,18,0.0,4.0,4.0,2.0,3.0,3,3,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,9.993457300275482,0.28568850011940095,6.952642332415059,0.07279693486590033,0
7,3,1,38120,1.0,15,0,0.0,3.0,0,0.0,0.0,4.0,3.0,3.0,3,3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,9.952916666666665,0.25266742933465514,7.008878472222222,0.08045977011494254,0
9,3,1,46480,0.0,23,2,9.0,2.0,8,0.0,7.0,2.0,1.0,3.0,2,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,9.970696721311475,0.27103067856357266,7.201573315118398,0.06513409961685823,0
8,1,1,29360,4.0,12,1,10.0,2.0,8,7.0,7.0,2.0,4.0,2.0,3,3,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,10.003472222222223,0.2669358459529954,7.172875,0.08045977011494254,0
5,4,2,21050,0.0,20,0,19.0,3.0,18,3.0,7.0,3.0,4.0,2.0,3,4,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,9.97581560283688,0.2753056387404236,7.636801418439716,0.09961685823754785,0
5,4,1,85780,7.0,21,0,11.0,4.0,9,0.0,8.0,2.0,2.0,3.0,3,4,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,9.995569620253164,0.2998435192268007,7.83278129395218,0.09195402298850575,0
2,3,2,27060,1.0,21,1,13.0,4.0,13,4.0,8.0,4.0,3.0,2.0,3,4,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,10.012408223201174,0.27777645662189726,6.974765051395008,0.13026819923371646,0
5,2,3,63840,3.0,19,2,19.0,4.0,10,0.0,1.0,1.0,2.0,3.0,2,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9.982748538011696,0.28066184474253014,6.906424220272905,0.12643678160919536,0
2,3,2,39680,2.0,13,2,12.0,3.0,5,1.0,2.0,4.0,3.0,3.0,2,3,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,9.98422865013774,0.27126120930854297,10.895463728191,0.07279693486590033,0
20,1,3,99070,0.0,13,1,6.0,3.0,5,0.0,3.0,3.0,4.0,3.0,2,3,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,9.98466947960619,0.27066971762140596,9.12566572902016,0.09195402298850575,0
7,4,2,132250,3.0,21,1,9.0,2.0,2,1.0,0.0,1.0,1.0,3.0,3,4,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,9.980404463040447,0.2981984094042432,6.831459786145978,0.08429118773946365,0
3,1,1,35400,1.0,13,0,24.0,4.5,18,7.5,11.0,1.0,1.0,3.0,3,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,9.997316384180792,0.2640158167317886,7.3160499058380415,0.09578544061302685,0
16,4,2,28040,0.0,19,2,3.0,0.5,2,2.0,2.0,3.0,4.0,1.0,3,3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,9.998497267759562,0.24951717526361747,8.610798041894354,0.06513409961685823,0
9,3,4,165835,6.0,12,1,12.0,3.0,10,7.5,8.0,4.0,2.0,3.0,3,3,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,9.994866385372715,0.28418473518101117,6.784845288326301,0.09195402298850575,0
1,4,1,165835,1.0,22,1,21.0,4.5,18,7.5,10.0,3.0,1.0,3.0,3,4,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,10.018775510204081,0.2890792287430697,10.911756729846998,0.06130268199233713,0
7,4,4,24390,0.0,15,0,9.0,2.0,8,1.0,7.0,3.0,4.0,3.0,3,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,9.997503671071954,0.2647862059633576,7.68658467939305,0.13026819923371646,0
1,3,3,73140,7.0,22,0,25.0,2.0,7,0.0,7.0,3.0,3.0,3.0,3,4,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,10.003840877914952,0.2628975511821886,9.948856881572931,0.06896551724137934,0
7,1,2,47740,2.0,18,1,11.0,2.0,8,7.0,7.0,3.0,2.0,2.0,3,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9.967294281729428,0.2798614542518155,7.905527661552766,0.08429118773946365,1
15,4,3,39020,1.0,22,0,4.0,2.0,4,1.0,2.0,3.0,2.0,2.0,3,4,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,9.984562841530053,0.29118797113706396,10.67241461748634,0.06513409961685823,0
1,3,3,26620,1.0,11,1,13.0,4.5,13,7.5,9.0,3.0,2.0,3.0,4,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,10.002649930264992,0.2828550052006884,10.496171548117156,0.08429118773946365,0
13,2,4,28560,1.0,12,2,5.0,4.5,5,0.0,4.0,4.0,3.0,3.0,4,3,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,10.00930735930736,0.2732585640024436,10.069261664261665,0.11494252873563215,0
24,3,2,10810,4.0,11,3,13.0,4.0,7,1.0,7.0,4.0,4.0,3.0,4,3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,9.98278463648834,0.30122137474642435,6.607014174668496,0.06896551724137934,0
7,3,2,24720,7.0,13,0,10.0,2.0,7,0.0,7.0,1.0,4.0,2.0,3,3,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.987834036568215,0.2888477932562323,7.497914908579466,0.09195402298850575,0
9,4,1,56730,5.0,14,1,5.0,4.0,3,2.0,2.0,1.0,4.0,2.0,2,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,10.007287449392713,0.27825996900781536,10.727235717498877,0.05363984674329503,1
13,3,4,41970,1.0,13,0,11.0,3.0,10,1.0,9.0,4.0,4.0,3.0,3,3,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,9.996336206896553,0.2849980565681091,6.184816810344828,0.11111111111111116,0
2,1,1,97130,1.0,17,0,10.0,4.5,10,7.5,9.0,3.0,3.0,3.0,2,3,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,10.01145374449339,0.28020306442840903,6.609300048947627,0.13026819923371646,0
19,4,1,20620,1.0,13,0,21.0,4.0,18,7.5,3.0,3.0,4.0,3.0,3,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,10.02017543859649,0.27644935722158204,6.07624634502924,0.12643678160919536,0
1,1,1,42840,4.0,17,1,12.0,0.5,1,0.0,0.0,4.0,3.0,2.0,3,3,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,9.99058265582656,0.2857548767785316,9.971745709123757,0.05747126436781613,1
4,2,4,47880,3.0,11,1,9.0,0.5,7,0.0,1.0,2.0,4.0,2.0,3,3,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,10.002134986225895,0.2785662530890931,7.42145202020202,0.07279693486590033,0
4,3,2,59060,4.0,23,0,21.0,4.0,3,1.0,1.0,4.0,3.0,3.0,4,4,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,10.009670781893004,0.2764003190060231,6.493810013717422,0.06896551724137934,0
14,3,5,38860,1.0,17,2,9.0,2.0,9,0.0,0.0,3.0,3.0,4.0,3,3,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,10.024964539007092,0.28497252690798086,6.299470449172577,0.09961685823754785,0
2,3,1,165835,0.0,17,0,6.0,3.0,5,1.0,4.0,3.0,2.0,3.0,3,3,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,10.028210678210678,0.2716277145747349,9.316973304473304,0.11494252873563215,0
1,4,2,29330,3.0,12,2,20.0,2.0,4,0.0,3.0,4.0,3.0,2.0,3,3,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9.997198275862068,0.28580839832827676,6.097862787356322,0.11111111111111116,0
7,2,2,65000,8.0,23,0,10.0,3.0,1,0.0,0.0,3.0,1.0,2.0,3,4,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,10.01701680672269,0.28428296010156134,7.217327264239029,0.08812260536398464,0
3,1,1,165835,8.5,14,1,12.0,4.5,10,7.5,8.0,4.0,4.0,3.0,3,3,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,10.003305785123967,0.28899134484233163,7.100070018365472,0.07279693486590033,0
2,4,4,50330,2.0,14,2,6.0,4.5,4,0.0,2.0,2.0,4.0,2.0,3,3,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,10.00064935064935,0.30901637886067806,9.914107744107744,0.11494252873563215,0
29,3,1,23070,1.0,13,1,7.0,0.5,7,0.0,7.0,2.0,1.0,2.0,3,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,9.97876811594203,0.28712410499962404,10.477788647342994,0.11877394636015326,1
8,3,3,25870,0.0,22,2,4.0,3.0,3,2.0,2.0,2.0,4.0,3.0,3,4,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,10.001952580195258,0.26267300036013935,6.906938633193864,0.08429118773946365,0
10,3,2,55070,1.0,12,2,10.0,2.0,10,1.0,2.0,4.0,3.0,3.0,2,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9.980890804597701,0.27204403548086825,7.589092432950192,0.11111111111111116,0
11,2,1,43930,1.0,18,1,8.0,2.0,8,0.0,7.0,2.0,2.0,3.0,2,3,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,9.98681693989071,0.285510356873363,6.079724499089253,0.06513409961685823,0
1,4,2,133480,7.0,14,0,8.0,4.0,6,0.0,4.0,4.0,4.0,2.0,3,3,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,9.990607344632767,0.27920023956093926,6.001112288135594,0.09578544061302685,0
28,4,1,65830,0.0,12,0,12.0,1.0,11,2.0,9.0,3.0,4.0,3.0,3,3,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,10.018870523415977,0.2827484985932016,8.983123278236915,0.07279693486590033,0
6,3,3,81030,1.0,15,1,11.0,4.5,11,4.0,10.0,3.0,4.0,3.0,3,3,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,9.97044817927171,0.27751692653563076,10.426184640522877,0.08812260536398464,0
3,4,3,39780,1.0,11,0,7.0,0.5,7,1.0,7.0,4.0,2.0,3.0,3,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,9.971448087431694,0.28778659207783575,8.387526183970856,0.06513409961685823,0
16,2,3,25440,0.0,13,1,17.0,3.0,16,0.0,13.0,3.0,2.0,3.0,4,3,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,9.949785407725322,0.2781364189471929,7.912038626609442,0.10727969348659006,0
20,4,1,53990,1.0,23,0,4.0,2.0,4,0.0,2.0,3.0,4.0,2.0,2,4,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,10.009774964838256,0.2705696821727717,7.105291842475387,0.09195402298850575,0
9,2,1,54870,6.0,19,2,8.0,0.5,5,1.0,2.0,4.0,2.0,3.0,3,3,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,10.008019525801952,0.28683709608737445,9.68863319386332,0.08429118773946365,0
1,3,2,68340,3.0,16,1,5.0,2.0,0,0.0,0.0,2.0,3.0,3.0,4,3,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,9.980892608089261,0.2932915412936925,7.770347512784752,0.08429118773946365,0
3,4,1,10910,2.0,22,0,16.0,0.5,1,0.0,0.0,1.0,4.0,3.0,1,4,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,9.992756680731365,0.2694641319671464,6.284280356305673,0.09195402298850575,0
22,4,2,57360,1.0,22,0,4.0,1.0,4,0.0,2.0,4.0,3.0,2.0,2,4,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,10.010228898426323,0.29286542661714343,6.306108726752504,0.10727969348659006,0
7,4,3,22260,0.0,12,1,4.0,3.0,3,1.0,0.0,3.0,3.0,3.0,2,3,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,10.007017543859648,0.27632026096875517,8.831585038986354,0.12643678160919536,0
2,3,2,57470,1.0,13,0,8.0,0.5,8,0.0,7.0,3.0,2.0,3.0,3,3,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,9.993145743145742,0.27735798632746567,7.722377344877344,0.11494252873563215,0
13,4,4,98540,3.0,16,1,15.0,2.0,0,0.0,0.0,1.0,3.0,1.0,2,3,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,9.968741058655223,0.2812707858601323,7.317479732951836,0.10727969348659006,0
8,5,2,54670,4.0,12,0,13.0,2.0,7,6.0,7.0,3.0,1.0,3.0,3,3,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,9.971457489878542,0.26719246751008063,10.798262483130904,0.05363984674329503,0
25,4,1,53800,7.0,21,1,4.0,0.5,2,2.0,2.0,4.0,3.0,4.0,3,4,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,9.96421768707483,0.27882688767843533,10.40136394557823,0.06130268199233713,0
28,3,5,51510,1.0,15,3,8.0,3.0,8,7.0,7.0,3.0,3.0,3.0,3,3,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,9.98792866941015,0.2793976507283478,5.994326703246457,0.06896551724137934,0
2,2,1,21330,3.0,13,2,14.0,2.0,1,0.0,0.0,1.0,4.0,3.0,3,3,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,9.979707112970711,0.2699523728450171,6.113110181311018,0.08429118773946365,0
9,3,4,165835,1.0,12,0,3.0,4.5,3,1.0,2.0,1.0,2.0,3.0,2,3,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,9.990983606557378,0.2518077988068162,8.133578096539162,0.06513409961685823,1
28,3,2,24320,4.0,22,0,7.0,4.0,1,0.0,0.0,4.0,4.0,3.0,1,4,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9.965158045977011,0.2840498942047056,7.306164990421457,0.11111111111111116,0
6,3,2,47710,4.0,13,1,16.0,2.0,13,1.0,12.0,1.0,4.0,3.0,3,3,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9.98578431372549,0.2829998304888185,7.105030345471522,0.08812260536398464,0
21,4,5,165835,2.0,18,0,15.0,2.0,3,1.0,2.0,4.0,3.0,3.0,1,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9.998368794326241,0.26001029304304724,6.327729314420804,0.09961685823754785,0
8,3,2,50870,3.0,14,1,10.0,3.0,7,1.0,7.0,4.0,3.0,3.0,3,3,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,9.993562231759658,0.2870055219013992,8.1285121602289,0.10727969348659006,0
1,5,2,28630,1.0,14,0,3.0,2.0,3,2.0,2.0,1.0,4.0,2.0,1,3,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,9.981077147016011,0.26347413580949025,7.98643255701116,0.12260536398467436,0
28,2,5,55610,1.0,21,1,1.0,3.0,1,0.0,0.0,4.0,3.0,3.0,1,4,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,10.004906204906204,0.2711845163147562,10.509096921596921,0.11494252873563215,1
5,3,4,21440,6.0,19,0,17.0,3.0,5,0.0,3.0,3.0,1.0,3.0,4,3,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,9.99935064935065,0.26205857605389077,7.993284030784031,0.11494252873563215,0
2,4,2,30650,2.0,11,0,7.0,3.0,1,0.0,0.0,3.0,3.0,4.0,3,3,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,9.988596491228071,0.2837956476074781,6.103653752436647,0.12643678160919536,0
16,1,1,28100,1.0,11,0,8.0,3.0,8,7.0,7.0,1.0,2.0,3.0,4,3,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,9.989628040057225,0.29393364469932376,7.587908917501192,0.10727969348659006,1
